ID,Nom du produit,Prix (FCFA),Description,Chemin image,Disponibilité,Stock maximum
32618859097759916,Gloss ESSIHI,,Dans les tons naturels avec du gloss,/uploads/prod_53_32618859097759916.jpg,IN_STOCK,99
25430712339878980,WOW COLOR WOW,,Nettoyant et entretien sans residu,/uploads/prod_54_25430712339878980.jpg,IN_STOCK,99
25269648302721760,Tangerine neon,,,/uploads/prod_55_25269648302721760.jpg,IN_STOCK,99
32885794164352434,72 mermaid stars,,,/uploads/prod_56_32885794164352434.jpg,IN_STOCK,99
25237606079205014,Bandeau pour wrap et pour le maintien des cheveux courts,,5000 xaf,/uploads/prod_57_25237606079205014.jpg,IN_STOCK,99
25494112923560054,44 coral breeze,,,/uploads/prod_58_25494112923560054.jpg,IN_STOCK,99
25069507446021905,18 tangerine neon,,,/uploads/prod_59_25069507446021905.jpg,IN_STOCK,99
25350979781191051,M PATRICE MULATO,,Soins de cheveux naturels ou colorés,/uploads/prod_60_25350979781191051.jpg,IN_STOCK,99
25304079405952215,19 orange energy,,,/uploads/prod_61_25304079405952215.jpg,IN_STOCK,99
24693919633619813,Gloss ESSIHI,,Dans les tons naturels avec du gloss,/uploads/prod_62_24693919633619813.jpg,IN_STOCK,99
24773098519038655,Epices oldbay,,"Made in usa. Parfait pour vos poulets,viandes et fruits de mer",/uploads/prod_63_24773098519038655.jpg,IN_STOCK,99
25512531185039519,DURO PROFESSIONAL,,Seche vos cheveux efficacement,/uploads/prod_64_25512531185039519.jpg,IN_STOCK,99
25773979258876558,Assaisonnement salé pour steak au barbecue,,Parfaitement adapté aux barbecues,/uploads/prod_65_25773979258876558.jpg,IN_STOCK,99
32780988441548180,12 nude caramel,,,/uploads/prod_66_32780988441548180.jpg,IN_STOCK,99
25378238141770128,Polygel,,Construction et gainage,/uploads/prod_67_25378238141770128.jpg,IN_STOCK,99
25790714913898372,Body wavy 20P Raw hair PERUVIEN,,Disponible en 16p également,/uploads/prod_68_25790714913898372.jpg,IN_STOCK,99
25171574775784279,"Mousse, Spray et Stick pour perruque",,Coller vos perruques comme une pro,/uploads/prod_69_25171574775784279.jpg,IN_STOCK,99
32436081179370483,38 soft lilac,,,/uploads/prod_70_32436081179370483.jpg,IN_STOCK,99
24851333401235735,Soins hydratant pour perruque,,"Hydrater, Demeler, Adoucir vos perruques devient un jeu d'enfant",/uploads/prod_71_24851333401235735.jpg,IN_STOCK,99
25752042491046137,76 christmas stars,,,/uploads/prod_72_25752042491046137.jpg,IN_STOCK,99
25586633117620528,36 deep lagoon,,,/uploads/prod_73_25586633117620528.jpg,IN_STOCK,99
24984673771224278,25 lime queen,,,/uploads/prod_74_24984673771224278.jpg,IN_STOCK,99
25104011405935680,57 another diva,,,/uploads/prod_75_25104011405935680.jpg,IN_STOCK,99
33116380317953117,Polygel,,Construction et gainage,/uploads/prod_76_33116380317953117.jpg,IN_STOCK,99
25465473979743595,60 red roses,,,/uploads/prod_77_25465473979743595.jpg,IN_STOCK,99
25746385998302975,Lisseurs et appareils chauffants,,,/uploads/prod_78_25746385998302975.jpg,IN_STOCK,99
24998021413224641,06 Pink Aura,,,/uploads/prod_79_24998021413224641.jpg,IN_STOCK,99
25401296482859210,Afro curly VIETNAMESE RAW HAIR,,,/uploads/prod_80_25401296482859210.jpg,IN_STOCK,99
25229100016710301,57 another diva,,,/uploads/prod_81_25229100016710301.jpg,IN_STOCK,99
25227898686898843,11 café latté,,,/uploads/prod_82_25227898686898843.jpg,IN_STOCK,99
25478141928547341,Bone straight raw hair vietnamien,,,/uploads/prod_83_25478141928547341.jpg,IN_STOCK,99
25501538686145593,82 glitter bloom,,,/uploads/prod_84_25501538686145593.jpg,IN_STOCK,99
25467579392882302,45 peachy pink,,,/uploads/prod_85_25467579392882302.jpg,IN_STOCK,99
25582888484642139,87 cheers to life,,,/uploads/prod_86_25582888484642139.jpg,IN_STOCK,99
32596962153283308,Shampoing et masque,,Fini les reflets cuivrés,/uploads/prod_87_32596962153283308.jpg,IN_STOCK,99
25290484167244854,Bandeau pour wrap et pour le maintien des cheveux courts,,,/uploads/prod_88_25290484167244854.jpg,IN_STOCK,99
33525074837091944,Lissez vos cheveux à la Keratine,,Passez de l'Afro au lissage sans dégats,/uploads/prod_89_33525074837091944.jpg,IN_STOCK,99
25326899790330913,47 i'm a diva,,,/uploads/prod_90_25326899790330913.jpg,IN_STOCK,99
25027358500251988,31 canarblou,,,/uploads/prod_91_25027358500251988.jpg,IN_STOCK,99
25405739529045219,Polygel,,Construction et gainage,/uploads/prod_92_25405739529045219.jpg,IN_STOCK,99
24764707999896980,22 bright sun,,,/uploads/prod_93_24764707999896980.jpg,IN_STOCK,99
25064706016555988,34 babyblue,,,/uploads/prod_94_25064706016555988.jpg,IN_STOCK,99
25454303917536957,53 rouse,,,/uploads/prod_95_25454303917536957.jpg,IN_STOCK,99
32932913899655338,Soins avant/apres keratine,,"Preparez, securisez et purifiez vos cheveux",/uploads/prod_96_32932913899655338.jpg,IN_STOCK,99
26067030762884862,59 wine me now,,,/uploads/prod_97_26067030762884862.jpg,IN_STOCK,99
25525706013733477,05 Petal silk,,,/uploads/prod_98_25525706013733477.jpg,IN_STOCK,99
33432307169693355,81 pink stardust,,,/uploads/prod_99_33432307169693355.jpg,IN_STOCK,99
25289396880700967,03 Sweet baby peach,,,/uploads/prod_100_25289396880700967.jpg,IN_STOCK,99
25689064914032050,42 coral blossom,,,/uploads/prod_101_25689064914032050.jpg,IN_STOCK,99
25499541553004381,Perruques virgin hair,,,/uploads/prod_102_25499541553004381.jpg,IN_STOCK,99
32634261359552569,42 coral blossom,,,/uploads/prod_103_32634261359552569.jpg,IN_STOCK,99
25383070047979712,Antipelliculaire,,Traite les pellicules,/uploads/prod_104_25383070047979712.jpg,IN_STOCK,99
32403701372607049,21 sun pop,,,/uploads/prod_105_32403701372607049.jpg,IN_STOCK,99
25099711259723098,33 neon turquoise,,,/uploads/prod_106_25099711259723098.jpg,IN_STOCK,99
32364573713189910,40 purple love,,,/uploads/prod_107_32364573713189910.jpg,IN_STOCK,99
24904929859187180,13 cappucino drop,,,/uploads/prod_108_24904929859187180.jpg,IN_STOCK,99
32854619454122247,Assaisonnement salé pour poisson frit,,Aucun poisson ne lui resistera,/uploads/prod_109_32854619454122247.jpg,IN_STOCK,99
25132994869699239,55 red signature,,,/uploads/prod_110_25132994869699239.jpg,IN_STOCK,99
24894135263615156,Acne Cream La Diva,,Contre l'acne du visage,/uploads/prod_111_24894135263615156.jpg,IN_STOCK,99
25606180585666721,02 baby blossom,,,/uploads/prod_112_25606180585666721.jpg,IN_STOCK,99
32385112167799046,Beurre et huiles pour cheveux,,"Les cassures, chutes et sécheresse seront desormais du passé pour vos cheveux",/uploads/prod_113_32385112167799046.jpg,IN_STOCK,99
26320777180844220,04 soft pearl,,,/uploads/prod_114_26320777180844220.jpg,IN_STOCK,99
25169322062718519,Yaki straight. 20P Raw hair Péruvien,,Disponible en 12P/16P/20P,/uploads/prod_115_25169322062718519.jpg,IN_STOCK,99
25473854392224848,58 wine me not,,,/uploads/prod_116_25473854392224848.jpg,IN_STOCK,99
24858805827155033,84 christmas tree,,,/uploads/prod_117_24858805827155033.jpg,IN_STOCK,99
25351136404525258,09 taupe velours,,,/uploads/prod_118_25351136404525258.jpg,IN_STOCK,99
25111298981844535,75 the old way,,,/uploads/prod_119_25111298981844535.jpg,IN_STOCK,99
25409198638716414,30 Royal Emerald,,,/uploads/prod_120_25409198638716414.jpg,IN_STOCK,99
25081706404812936,Golden moustard,,,/uploads/prod_121_25081706404812936.jpg,IN_STOCK,99
26287919534130156,Gel pour tresses et baby hair,,Plaquez vos cheveux sans residus blanc,/uploads/prod_122_26287919534130156.jpg,IN_STOCK,99
25090228080661054,Bandeau pour wrap et pour le maintien des cheveux courts,,5000 xaf,/uploads/prod_123_25090228080661054.jpg,IN_STOCK,99
25327670553587048,Kinky straight Vietnam. Raw hair.,,,/uploads/prod_124_25327670553587048.jpg,IN_STOCK,99
25407084065574531,04 soft pearl,,,/uploads/prod_125_25407084065574531.jpg,IN_STOCK,99
25255304997441848,41 pink candy,,,/uploads/prod_126_25255304997441848.jpg,IN_STOCK,99
25346323948395208,32 Lagoon blue,,,/uploads/prod_127_25346323948395208.jpg,IN_STOCK,99
25398017506481926,Polygel,,Construction et gainage,/uploads/prod_128_25398017506481926.jpg,IN_STOCK,99
25113829594932565,08 sweet apricot,,,/uploads/prod_129_25113829594932565.jpg,IN_STOCK,99
25212967225038247,66 aurora dream,,,/uploads/prod_130_25212967225038247.jpg,IN_STOCK,99
25240589632224833,33 neon turquoise,,,/uploads/prod_131_25240589632224833.jpg,IN_STOCK,99
25497032649963818,Afro crépu,,,/uploads/prod_132_25497032649963818.jpg,IN_STOCK,99
25191902830464585,65 ash lilac,,,/uploads/prod_133_25191902830464585.jpg,IN_STOCK,99
25110081455350102,Polygel,,Construction et gainage,/uploads/prod_134_25110081455350102.jpg,IN_STOCK,99
26120125790984262,16 tangerine pop,,,/uploads/prod_135_26120125790984262.jpg,IN_STOCK,99
25410081328586863,Cajun épicé de louisiane,,Parfait pour vos soupes de fruits de mer et poulets,/uploads/prod_136_25410081328586863.jpg,IN_STOCK,99
32629946476652245,54 red flag,,,/uploads/prod_137_32629946476652245.jpg,IN_STOCK,99
25126200520363653,Aimant pour Vsp cateye (oeil de chat ),,5000xaf,/uploads/prod_138_25126200520363653.jpg,IN_STOCK,99
